,text,abstract,abstract_size,pred_summary,nltk_pred_summary
1889,"Members of India's junior hockey team, who won the World Cup last week, have said they will request PM Narendra Modi to grant them jobs at a meeting next week. ""We need some security...if we pick up an injury, who will take care of us? We are jobless,"" said Gurjant Singh, who scored in the final against Belgium.","When the just-crowned Hockey Junior World Cup champions meet Prime Minister Narendra Modi next Wednesday, on the top of their agenda will be seeking jobs which they feel their state government and their clubs have failed to provide.Gurjant Singh, who scored in the final against Belgium which India won 2-1 to clinch the trophy after 15 years, said: ""We need security. The Punjab government (his state government) should provide us with jobs. When we meet the Prime Minister on December 28 we will be taking up the issue with him.""Gurjant, who is playing for ONGC in the ongoing 121st All India Beighton Cup is one of the five players the PSU has in their ranks from the World Cup winning team. (Seniors can learn from our junior world champions, says India hockey coach Roelant Oltmans)""We have got Rs 25 lakh each from the Punjab government which is great. But we need security which a job can provide. We have just won the World Cup and our aim is to win a medal in the 2018 senior World Cup,"" Simranjeet Singh, another scorer in the final, said.Gurjant added: ""We need some security as if we pick up an injury here today (in the Beighton Cup) who will take care of us? We are jobless."" (India hammer Belgium 2-1 to clinch second Junior Hockey World Cup title)Retorting to the players' plea, ONGC coach Sandeep Sangwan said, ""We are looking into it (trying to get job for players). At ONGC, we have certain policies and at the moment we have three vacancies. We are thinking of giving them jobs.""On the historic World Cup win, Vikramjeet Singh, another member of the team, said beating Australia in the semi-finals was the toughest.""We had the belief in us that we can reach the final. The semi-final against Australia was our toughest test.""India edged past powerhouse Australia 4-2 via penalty shoot-out to enter the final. (India outclass Spain to enter semi-finals of Junior Hockey World Cup)""Life has changed after winning the World Cup. When I scored the first goal it was like the roof came down in Lucknow,"" Gurjant said.",19,"Members of India's junior hockey team, who won the World Cup last week, have said they will request PM Narendra Modi to grant them jobs at a meeting next week. ""We need some security... if we pick up an injury, who will take care of us? We are jobless,"" said Gurjant Singh, who scored in the final against Belgium.","Members of India's junior hockey team, who won the World Cup last week, have said they will request PM Narendra Modi to grant them jobs at a meeting next week. We are jobless,"" said Gurjant Singh, who scored in the final against Belgium. ""We need some security... if we pick up an injury, who will take care of us?"
3138,"Speaking on the issue of cross-border aggression by Pakistan, Home Minister Rajnath Singh said the Indian Army has been given the permission not to keep a record of bullets if Pakistani forces fire even one bullet. ""Pakistan is trying to disturb peace and tranquillity in J&K time and again, but this practice will not continue for long,"" Singh added.","Warning Pakistan once again for 'disturbing peace and tranquillity in Jammu and Kashmir', Home Minister Rajnath Singh today indicated that India would respond with unmeasured force if the neighbour fired even a single bullet. ""Pakistan is trying to disturb peace and tranquillity in Jammu and Kashmir time and again, but this practice will not continue for long,"" the home minister was quoted as saying by news agency IANS, once again referring to his recent statement that the Modi government is working on permanent solution for the situation in Kashmir.On the topic of cross-border aggression by Pakistan, Rajnath said that the Indian Army has been given the permission not to keep a record of bullets if Pakistani forces 'fire one bullet'. The home minister's comments came during a public meeting in Hamirpur, Himachal Pradesh, where Rajnath was attending the Bharatiya Janata Party's Tridev Sammelan aimed at strengthening and mobilising party cadres.'WILL UPROOT PAK-SPONSORED TERROR' This is the second time in two days that the home minister has directly spoken about Pakistan-backed terrorism in Kashmir. During a press conference yesterday, he had said, ""I assure you that we will uproot Pakistan-sponsored terror from Jammu and Kashmir and establish peace there"". Rajnath's comments today came two days after two Indian Army jawans were killed in an ambush my militants on the Jammu-Srinagar National Highway. ",7,"Speaking on the issue of cross-border aggression by Pakistan, Home Minister Rajnath Singh said the Indian Army has been given the permission not to keep a record of bullets if Pakistani forces fire even one bullet. ""Pakistan is trying to disturb peace and tranquillity in J&K time and again, but this practice will not continue for long,"" Singh added.","Speaking on the issue of cross-border aggression by Pakistan, Home Minister Rajnath Singh said the Indian Army has been given the permission not to keep a record of bullets if Pakistani forces fire even one bullet. ""Pakistan is trying to disturb peace and tranquillity in J&K time and again, but this practice will not continue for long,"" Singh added."
2899,"A picture of Govinda from the sets of the upcoming Ranbir Kapoor and Katrina Kaif starrer 'Jagga Jasoos' has surfaced online. Reports suggest that Govinda shot for a cameo in the film, but later walked out of it citing irreconcilable differences with director Anurag Basu. Govinda was reportedly cast as a detective who helps Ranbir Kapoor's character find his father.n","Govinda is back in action, and how! Bollywood's Hero No 1 is in Anurag Basu's Jagga Jasoos, and a latest still from the film is a proof of it. After his dud Aa Gaya Hero, Govinda will be seen in Ranbir Kapoor and Katrina Kaif-starrer which is set to hit the screens on July 14. If reports are to be believed, the actor will essay the role of a detective who will help Ranbir in finding his father in the film. But more than anything, it is Govinda's look that has left us intrigued. The 53-year-old actor will be seen in a cameo in the much-delayed Jagga Jasoos.Earlier there were rumours that Shah Rukh Khan will be seen in a cameo in Jagga Jasoos, but this latest revelation has taken everyone by surprise. Govinda's presence in the film was kept under the wraps all this while. And now, Govinda fans cannot wait to see their favourite actor in a new avatar. Jagga Jasoos also stars Katrina Kaif, Saurabh Shukla and Sayani Gupta.  ",10,"A picture of Govinda from the sets of the upcoming Ranbir Kapoor and Katrina Kaif starrer 'Jagga Jasoos' has surfaced online. Reports suggest that Govinda shot for a cameo in the film, but later walked out of it citing irreconcilable differences with director Anurag Basu. Govinda was reportedly cast as a detective who helps Ranbir Kapoor's character find his father. n","A picture of Govinda from the sets of the upcoming Ranbir Kapoor and Katrina Kaif starrer 'Jagga Jasoos' has surfaced online. Govinda was reportedly cast as a detective who helps Ranbir Kapoor's character find his father. Reports suggest that Govinda shot for a cameo in the film, but later walked out of it citing irreconcilable differences with director Anurag Basu. n"
3677,"RSS ideologue Indresh Kumar on Saturday said Muslims in India have realised that even Allah doesn't want an ""impure"" mosque at the disputed site in Ayodhya. The 15th-century structure was named after an individual (Babur) and so it could never be used by Muslims as they only worshipped one God, he said. Allah never accepted the structure, he added.","Senior Rashtriya Swayamsevak Sangh (RSS) ideologue Indresh Kumar on Saturday said that Muslims in India have understood that even Allah doesn't want an 'impure' mosque at the disputed site in Ayodhya.Speaking to India Today, the veteran RSS functionary and convener of its minority cell - Muslim Rashtriya Manch said, ""Muslims have realised that since Allah himself has not allowed the mosque to come up there, it's unlikely that it will ever come up.""Questioning the legitimacy of the Babri Masjid, Kumar said that the 15th century structure was named after an individual (Babur) and so it could never be used by Muslims as they only worshiped one God.""The land is disputed and it was claimed after destroying a Ram temple that existed there, thus Allah never accepted the structure and even namaz was never conducted at the place. Today, Muslims have realized that it was an illegal structure,"" he explained.Going back in time, the veteran RSS ideologue blamed the dispute on a mistake by Babur, the founder of the Mughal dynasty in the subcontinent. TRY BABUR IN COURT ""The Ram Mandir in Ayodhya was destroyed by Babur 400 years ago. Had he not indulged in that act to build such an impure mosque, there would not have been such a predicament today. I would like to appeal to the courts of the land that if someone needs to be tried it should be Babur and his army general Mir Baqi,"" he added.At a time when the RSS backed Muslim Rashtriya Manch is backing the call for a Ram Mandir at Ayodhya, Kumar said that many in the community have stated that they don't want an 'illegal' mosque, especially one that was built on a disputed land.""They (Muslims) have realised that Ram and Khuda are all the same, they are one supreme power. The only difference being that one is abstract and the other takes the form of Lord Ram,"" he added.According to Kumar, the minority community in India now realises that those who are trying to encroach the land forcefully were neither following the principles of Quran nor the Prophet, but were only interested in continuing the stalemate.""They believe that Ram is like their Nabi or Paigambar and most definitely that of their ancestors, thus they want a Ram Temple in Ayodhya to end the dispute forever. They have understood that even though they may be Muslims by faith but in Hindustan their ancestors were all Hindus and their social and domestic customs too were that of the Hindus,"" Kumar said.Also read:Babri Masjid demolition: Supreme Court restores conspiracy charges against LK Advani, MM Joshi, Uma Bharti",16,"RSS ideologue Indresh Kumar on Saturday said Muslims in India have realised that even Allah doesn't want an ""impure"" mosque at the disputed site in Ayodhya. The 15th-century structure was named after an individual (Babur) and so it could never be used by Muslims as they only worshipped one God, he said. Allah never accepted the structure, he added.","RSS ideologue Indresh Kumar on Saturday said Muslims in India have realised that even Allah doesn't want an ""impure"" mosque at the disputed site in Ayodhya. The 15th-century structure was named after an individual (Babur) and so it could never be used by Muslims as they only worshipped one God, he said. Allah never accepted the structure, he added."
3364,"Filmmaker Rohit Shetty has said he's happy and relieved that the Rajinikanth-Akshay Kumar starrer '2.0' isn't releasing on Diwali, the same day as his film 'Golmaal Again'. He added, ""We know if we release a film with another big film, business does get affected."" Earlier, Aamir's 'Secret Superstar', 'Golmaal Again' and '2.0' were scheduled to release on Diwali this year.","Mumbai, May 11 (PTI) Director Rohit Shetty says he is happy that his upcoming film ""Golmaal 4"" will not have to face competition from Ranjinikanths ""2.0"" at the box office as now both the movies are releasing on separate dates. Earlier Rohits film starring Ajay Devgn, Tabu, Parineeti Chopra and Arshad Warsi, was set to release this Diwali alongside ""2.0"". ""We tried to do that (referring to pushing ahead the release date) but we were not getting the right date. If we come on solo week or normal week then it is ok. But when you clash (at the box office) obviously the window is not that big as far as business is concerned,"" Rohit told PTI. ",7,"Filmmaker Rohit Shetty has said he's happy and relieved that the Rajinikanth-Akshay Kumar starrer '2. 0' isn't releasing on Diwali, the same day as his film 'Golmaal Again'. He added, ""We know if we release a film with another big film, business does get affected. "" Earlier, Aamir's 'Secret Superstar', 'Golmaal Again' and '2. 0' were scheduled to release on Diwali this year.","He added, ""We know if we release a film with another big film, business does get affected. "" 0' isn't releasing on Diwali, the same day as his film 'Golmaal Again'. Filmmaker Rohit Shetty has said he's happy and relieved that the Rajinikanth-Akshay Kumar starrer '2. 0' were scheduled to release on Diwali this year. Earlier, Aamir's 'Secret Superstar', 'Golmaal Again' and '2."
4093,"A firefighter from US revived a dog rescued from a burning building by performing CPR on it. The dog was reportedly no longer breathing and did not have a pulse. It was also given oxygen through an oxygen mask designed for animals. ""It was a win for the whole team... that we got him back,"" said the fireman. ","When a disaster like fire or earthquake strikes, our first reaction is to grab our dear ones and run. But what about the times when we get separated from someone we love in a moment of such crisis?That's where real life heroes come in.After an apartment in Santa Monica, California, caught fire recently, somebody's pet dog got trapped inside the burning building. When firefighter Andrew Klein noticed, he climbed into the building and rescued the poor dog.However, the dog, who's called Nalu, was no longer breathing and didn't have a pulse. Nalu had been ""overcome by heat and smoke,"" the Santa Monica Fire Department said in a statement.Klein, a fireman from the Santa Monica Fire Department, did not give up. He performed a CPR on Nalu as people and his colleagues looked on. Nalu was also given oxygen through an oxygen mask designed for animals. Around 20 minutes after the CPR, as Klein and others kept coaxing him, Nalu began to breathe on his own again. ""It was pretty amazing because I've been on a number of animal rescues like this that did not come out the same way that Nalu's story did,"" Klein told KTLA 5. ""It was definitely a win for the whole team and the department that we got him back.""Like Dr Derek Shepherd used to say on Grey's Anatomy, ""It's a beautiful day to save lives."" It always is.|| Read more at FYI ||Is culling the solution to stray dog menace in Kerala?Chandigarh youth spins dog and mercilessly hurls it against the wall",15,"A firefighter from US revived a dog rescued from a burning building by performing CPR on it. The dog was reportedly no longer breathing and did not have a pulse. It was also given oxygen through an oxygen mask designed for animals. ""It was a win for the whole team... that we got him back,"" said the fireman.","A firefighter from US revived a dog rescued from a burning building by performing CPR on it. ""It was a win for the whole team... that we got him back,"" said the fireman. The dog was reportedly no longer breathing and did not have a pulse. It was also given oxygen through an oxygen mask designed for animals."
4038,"Actress Taapsee Pannu has said that she is extremely proud of her relationship status and the person she is with. ""I'm in an extremely good state in my personal life,"" she added. Taapsee further said she does not want to talk about her relationship as people would then start talking about it more than the work she does. ","Taapsee Pannu is one of the rare Bollywood actors who has mostly steered clear of link-ups with her co-stars. However, sometime back, there were rumours that she was dating Olympic silver medallist badminton player Mathias Boe, who hails from Denmark. In an exclusive interview with IndiaToday.in, Taapsee opened up about her relationship.While she did not confirm that Mathias was the man in her life, she said, ""I'm in an extremely good state in my personal life. Now, why I don't talk about it in the media is not because I'm ashamed to accept it, but because if I do, then everything will be centred around that and people will start talking about that more than the work I do, which I don't want. That is the only reason I don't want to talk about it. Otherwise, I'm extremely proud of my relationship status and the person I'm with.""Coincidentally, Mathias is currently in the Indian capital for the India Super Series. Taapsee was in Delhi yesterday with her Naam Shabana co-star Akshay Kumar for the promotions of their upcoming film.A bit of shopping with @ViktorAxelsen at khan market, love the weather, ð??®ð??³ð???ð???. pic.twitter.com/75ajdWthNTOn our favourite song, in our favourite city for the favourite film of this season #NaamShabanapic.twitter.com/eKYekWM23s",16,"Actress Taapsee Pannu has said that she is extremely proud of her relationship status and the person she is with. ""I'm in an extremely good state in my personal life,"" she added. Taapsee further said she does not want to talk about her relationship as people would then start talking about it more than the work she does.","Actress Taapsee Pannu has said that she is extremely proud of her relationship status and the person she is with. Taapsee further said she does not want to talk about her relationship as people would then start talking about it more than the work she does. ""I'm in an extremely good state in my personal life,"" she added."
457,"Jharkhand Police on Monday arrested a 25-year-old man for allegedly abusing Prime Minister Narendra Modi and cows in a WhatsApp video. ""The content in the video was explicitly provocative. Any person found spreading communally sensitive content in social media will not be spared,"" police officials said. Eleven such people have been jailed in Hazaribag district alone this year, they added. ","Police in Jharkhand?s Hazaribag arrested a 25-year-old Muslim man late Monday night for allegedly abusing Prime Minister Narendra Modi and cows in a video that recently went viral on WhatsApp, Hazaribag superintendent of police Anup Birthare said on Tuesday.Later Tuesday, a judicial magistrate remanded Mohammad Arif to 14 days of police custody. This is the second incidence in a month when a Muslim man has been sent to jail for speaking explicitly against Modi in BJP-ruled Jharkhand. On June 23, the Sahibganj police arrested 20-year-old Sameer Ansari for allegedly raising anti-Modi and anti-India slogans in a video which was largely shared on social media.Arif, who was arrested from Keredari block in Hazaribag, about 95 kilometers from the state capital Ranchi, is a motorcycle mechanic, police said.?The content in the video was explicitly provocative. Any person found spreading communally sensitive content in social media will not be spared,? Birthare said.In the video, Arif had allegedly disrespected cows and also threatened to slaughter cows openly, police sources said. He had shot the video and was also the first person to share it on WhatsApp, they said.He added that at least 11 such people, including Hindus and Muslims, have been jailed in Hazaribag alone this year for fanning communal hatred on social media.The government has prohibited sharing communally sensitive content of social media across all the 24 districts of the state.Read more: Jharkhand: Tension simmers in Giridh after temple desecration; cops detain sixEarlier this month, the Hazaribag administration had issued externment orders against 20 people for spreading communal hatred.At least five incidents of communal clashes have rocked Jharkhand in the past one month.On July 14, a Shiva temple was vandalized in Hazaribag by a deranged Muslim man, resulting in communal clashes. Giridih district witnessed communal clashes after a Muslim man allegedly vandalized a Durga idol at a village temple on July 18.On June 29, a Muslim trader Alimuddin Ansari was lynched to death for carrying beef. A Muslim man was thrashed on June 27 by cow vigilantes after the carcass of a cow was found near his residence in Giridih.Communal flare ups were also reported from capital Ranchi and Jamshedpur.",19,"Jharkhand Police on Monday arrested a 25-year-old man for allegedly abusing Prime Minister Narendra Modi and cows in a WhatsApp video. ""The content in the video was explicitly provocative. Any person found spreading communally sensitive content in social media will not be spared,"" police officials said. Eleven such people have been jailed in Hazaribag district alone this year, they added.","Jharkhand Police on Monday arrested a 25-year-old man for allegedly abusing Prime Minister Narendra Modi and cows in a WhatsApp video. Any person found spreading communally sensitive content in social media will not be spared,"" police officials said. Eleven such people have been jailed in Hazaribag district alone this year, they added. ""The content in the video was explicitly provocative."
2110,"Delhi CM Arvind Kejriwal on Sunday pulled up state's Health Minister Satyendar Jain over the shortage of ventilators at state-run hospitals. Ambu-bags (manual hand-held devices which support breathing) are being used to resuscitate patients due to an ""acute shortage"" of ventilators at hospitals, reports have claimed. ""Satinder, this is unacceptable (sic),"" he tweeted.","New Delhi, Dec 11 (PTI) Following reports about shortage of ventilators in Delhi government-run hospitals, Chief Minister Arvind Kejriwal today pulled up Health Minister Satyendar Jain who in turn sought to shift the blame onto Lt Governor Najeeb Jung, accusing the Health Secretary appointed by him of not reaching the hospital to deal with a case of medical negligence citing unavailability of car. A peeved Kejriwal reacted on Twitter following media reports claiming Ambu-bags (manual hand-held devices which support breathing) being used to resuscitate patients due to an ""acute shortage"" of ventilators at hospitals. ""Satinder, this is unacceptable (sic),"" he tweeted. Later, Jain wrote on twitter that, ""There is a death in LNH due to negligence.I requested Sec health to reach Hospital with me. He refused to come saying unavailability of car"". According to sources in the Delhi governments Health Department, Jain had received an information about a patient, having died yesterday in Lok Nayak Jai Prakash Narayan Hospital as he was allegedly unable to get ventilator support, and was going to the hospital to check the ground reality. He had also called the Health Secretary to come with him but the secretary refused saying his car was not available, they said. Jain blamed the LG saying that he has appointed the ""most incompetent"" IAS officer as the health secretary. ""Shameful. LG has appointed the most incompetent, useless n insensitive IAS officer as health secy,"" Jain tweeted. ",11,"Delhi CM Arvind Kejriwal on Sunday pulled up state's Health Minister Satyendar Jain over the shortage of ventilators at state-run hospitals. Ambu-bags (manual hand-held devices which support breathing) are being used to resuscitate patients due to an ""acute shortage"" of ventilators at hospitals, reports have claimed. ""Satinder, this is unacceptable (sic),"" he tweeted.","Ambu-bags (manual hand-held devices which support breathing) are being used to resuscitate patients due to an ""acute shortage"" of ventilators at hospitals, reports have claimed. Delhi CM Arvind Kejriwal on Sunday pulled up state's Health Minister Satyendar Jain over the shortage of ventilators at state-run hospitals. ""Satinder, this is unacceptable (sic),"" he tweeted."
2442,"Sachin Tendulkar, Sourav Ganguly and VVS Laxman have written to Committee of Administrators head Vinod Rai, asking him to clarify that Rahul Dravid and Zaheer Khan were made consultants after discussion with Ravi Shastri. ""There have been suggestions the CAC exceeded its ambit...It has pained us to see the light in which the CAC has been portrayed,"" wrote Sachin.","After the appointment of Zaheer Khan and Rahul Dravid as consultants with the Indian team created a storm in the media, the Cricket Advisory Committee (CAC) members have taken up the matter with Committee of Administrators (CoA) and BCCI, asking them to clarify the impression created against their intentions to appoint the two alongside chief coach Ravi Shastri.The three members of the CAC, Sachin Tendulkar, Sourav Ganguly and VVS Laxman, have written separate letters to Vinod Rai, the head of the COA, and Amitabh Choudhary, the acting secretary of the BCCI.READ?|?Zaheer Khan to be asked to give up Indian Premier League contract for India jobThey have taken exception to the fact that their decision to appoint Zaheer Khan as bowling consultant and Rahul Dravid as batting consultant has been spoken about as CAC exceeding their brief. ?There have been suggestions that the CAC has exceeded its ambit in going with Mr Khan and Mr Dravid, and these two legends of Indian cricket have been foisted on the head coach. It has both pained and disappointed us therefore to see the light in which the CAC has been portrayed in various sections of the media,? protested Sachin Tendulkar in a strongly-worded letter.?While we all know that none of these reports are true, it is out in public domain and it is imperative that the cricket-loving public at large is made aware of the reality. We could do it ourselves, of course, but we don?t want to further queer the pitch. So, we would respectfully request you to clear the air and set the record straight in this regard,? he wrote.READ?|?Here is why Shane Warne called Ravindra Jadeja a ?rockstar??The three of us played our cricket with great integrity, and we have brought that same trait in fulfilling this important responsibility bestowed upon us by the BCCI. While we are not looking for plaudits, we do not appreciate the tone and the falsehoods of some of the narratives,? wrote Sachin Tendulkar.?You (Rai/Choudhary) will be aware that we put our heart and soul into the process, approaching a task made delicate by the recent developments with a clear head and with the sole aim of providing the Indian team with the best resources possible to become the world-beaters they are capable of being.READ?|?West Indies will strive to get direct entry into ICC World Cup 2019: Chris Gayle?We also bring to your notice the mail you had circulated to us saying that we had absolutely free hand in picking the coach of the Indian cricket team. Also, we did inform you over the phone along with Rahul Johri and Amitabh Choudhary of all that transpired immediately after the meeting was over,? one of the letters stated.In an interview to a newspaper, chief coach Ravi Shastri stated that he should be entitled to select his own support staff. Shastri has made his intentions clear of wanting Bharat Arun as bowling coach.READ?|?Erapalli Prasanna?disappointed? with CAC?s drama over India coach selectionAfter the protest letters from CAC, the BCCI sent a clarification that Zaheer and Dravid will be ?batting and bowling consultants on overseas tour-to-tour basis, as per the requirement of the team?. In the original release, Zaheer was named bowling consultant.The BCCI release further stated: ?The three members of the committee ? Mr. Sourav Ganguly, Mr. Sachin Tendulkar and Mr. VVS Laxman ? have executed the assigned task with total transparency, professionalism and commitment to Indian cricket.?",27,"Sachin Tendulkar, Sourav Ganguly and VVS Laxman have written to Committee of Administrators head Vinod Rai, asking him to clarify that Rahul Dravid and Zaheer Khan were made consultants after discussion with Ravi Shastri. ""There have been suggestions the CAC exceeded its ambit... It has pained us to see the light in which the CAC has been portrayed,"" wrote Sachin.","Sachin Tendulkar, Sourav Ganguly and VVS Laxman have written to Committee of Administrators head Vinod Rai, asking him to clarify that Rahul Dravid and Zaheer Khan were made consultants after discussion with Ravi Shastri. It has pained us to see the light in which the CAC has been portrayed,"" wrote Sachin. ""There have been suggestions the CAC exceeded its ambit..."
581,A Delhi police officer has been suspended for allegedly getting drunk and masturbating before a woman constable at a training academy. The cop also inappropriately touched two other women constables who then warned him of informing senior officials about his actions. A senior police officer has confirmed the incident and said a departmental inquiry is being conducted in this case.,"A Delhi police cop has been suspended for getting drunk and flashing in front of a woman colleague at the police training college. The incident was reported by the woman officer who informed her seniors on Saturday night. Police sources said the cop, posted at the police training college in Jharoda Kalan, had also inappropriately touched two women constables at dinner. At around 6pm, inside the mess, the cop who was reportedly reeking of alcohol touched two women constables. They threatened to inform their superiors if he did not apologise. An hour later, another woman constable alleged that the cop had stripped and masturbated in front of her. The woman informed the police after which senior officials reached the spot. Investigation revealed that after being warned by the two women in the mess, the policeman returned to his room and drank more liquor. Later, he went to his terrace and stripped. Senior officers who reached the spot held an informal test identification parade during which the complainant identified the man. A senior police officer confirmed the news and said they are conducting a departmental inquiry. ",11,A Delhi police officer has been suspended for allegedly getting drunk and masturbating before a woman constable at a training academy. The cop also inappropriately touched two other women constables who then warned him of informing senior officials about his actions. A senior police officer has confirmed the incident and said a departmental inquiry is being conducted in this case.,A Delhi police officer has been suspended for allegedly getting drunk and masturbating before a woman constable at a training academy. The cop also inappropriately touched two other women constables who then warned him of informing senior officials about his actions. A senior police officer has confirmed the incident and said a departmental inquiry is being conducted in this case.
2828,"At least five people were killed and nine suffered burn injuries when an LPG cylinder exploded at a tea stall in Delhi's Okhla Phase I on Monday. As per reports, wedding preparations were going on at the site of the accident. Two jhuggies (shanties) located near the tea stall were also engulfed in the fire. ","Five members of a family were killed and nine others injured when a LPG cylinder exploded inside their house in South Delhi's Okhla Phase-I on Monday night.Three women, a child and a man were among those killed in the gas cylinder blast in a jhuggi (shanty) infront of  Tata Steel office. The injured have been admitted to ESI Hospital and Safdarjung Hospital.According to reports, the blast took place when dinner was being prepared for relatives and guests who had gathered for a marriage which was fixed for Wednesday (June 28). Eyewitnesses said that the gas cylinder suddenly caught fire and despite attempts to douse the flame it spread quickly. The cylinder then exploded killing two women on the spot. Two other jhuggis also caught fire following the blast.Locals said the fire brigade arrived at the site more than 45 minutes after the first emergency call was made.",8,"At least five people were killed and nine suffered burn injuries when an LPG cylinder exploded at a tea stall in Delhi's Okhla Phase I on Monday. As per reports, wedding preparations were going on at the site of the accident. Two jhuggies (shanties) located near the tea stall were also engulfed in the fire.","At least five people were killed and nine suffered burn injuries when an LPG cylinder exploded at a tea stall in Delhi's Okhla Phase I on Monday. Two jhuggies (shanties) located near the tea stall were also engulfed in the fire. As per reports, wedding preparations were going on at the site of the accident."
3956,"Reacting to the recent violence against Africans in India, a group of African envoys said, ""India took no action to prevent violence against Africans. It didn't properly condemn the Greater Noida attack."" They also termed the attacks against African nationals in India as ""xenophobic and racial"" and sought an international inquiry into the matter along with demanding strong condemnation.","Condemning the recent attacks on their students in Greater Noida, a group of African envoys have accused India of taking no action against the violence, which they said was ""xenophobic and racial"" in nature.""India took no action to prevent violence against Africans. It didn't properly condemn the Greater Noida attack,"" the African envoys said in a statement. ""No known, sufficient and visible deterring measures were taken,"" it added.Calling the attacks ""xenophobic and racial"", the envoys said they expect strong condemnation and action from India. ""These reprehensible events, both outstanding and unresolved cases against Africans, were not sufficiently condemned by the Indian authorities,"" they said.At least two incidents of attacks on Nigerian students were reported from Greater Noida last Monday following the death of a Class 12 student, who allegedly died of drug overdose.In another attack the same evening, caught on camera, a Nigerian student was brutally beaten by a large mob inside Greater Noida's Ansal Plaza mall.",8,"Reacting to the recent violence against Africans in India, a group of African envoys said, ""India took no action to prevent violence against Africans. It didn't properly condemn the Greater Noida attack. "" They also termed the attacks against African nationals in India as ""xenophobic and racial"" and sought an international inquiry into the matter along with demanding strong condemnation.","They also termed the attacks against African nationals in India as ""xenophobic and racial"" and sought an international inquiry into the matter along with demanding strong condemnation. Reacting to the recent violence against Africans in India, a group of African envoys said, ""India took no action to prevent violence against Africans. It didn't properly condemn the Greater Noida attack. """
423,"A forest department report submitted to the High Court suggested that all the seven domesticated elephants of Delhi be shifted to a sanctuary outside the city. It observed that not only were the elephants kept in poor conditions, but it was also risky to house them in crowded localities. Most of the elephants don't have proper ownership certificates, report said.","Delhi could soon lose all its seven elephants with the state forest department planning to shift them to a sanctuary outside the national capital. ?It would be wiser to shift them to safer confines with relatively larger natural environs away from human habitation,? said a report prepared by the forest department. The report has been submitted to the high court earlier this month.The city has seven domesticated elephants owned by four people. While six are kept at Sangam Vihar in Wazirabad, one is kept at a JJ cluster in Laxmi Nagar.The owners of the elephants have requested the forest officials not to separate them from the elephants as the animals would die without them. They have instead requested the forest department to give them a plot of land where they can move with the animals. ?We have asked the owners to respond within four weeks. If they don?t respond, we would shift the elephants to some area outside Delhi,? said AK Shukla, chief wildlife warden of Delhi In 2016, a committee comprising wildlife officials had recommended that all the elephants should be confiscated as their health was poor and the animals were kept in bad conditions. The owners, however, moved court challenging the committee?s report. In May 2017, a separate committee was formed on the orders of the court which inspected the elephants again. The report was submitted earlier this month. The five-member committee comprised officials of the forest department, the central zoo authority and the vet of the National Zoological Park in New Delhi. The committee, after inspecting the animals, found that not only the elephants were kept in poor conditions but it was also risky to keep the elephants in crowded localities. A number of cases have been earlier reported where domesticated elephants have gone on a rampage killing people. ?Housing elephants inside a crowded and congested colony is a high-risk affair. The risk was compounded as there were neither any secondary barriers to restrain the elephants in case they broke the chain with which they are tied, nor there were any tranquilising guns or medicines to restrict them,? the report said. The committee found that most of the animals were suffering from poor health which suggests that they were not properly fed and don?t undertake exercises such as long walks. They have cracked nails which suggest they have very poor foot care. ?Sometimes they are made to walk through a maze of traffic dust and exhaust fumes which they may find terrifying? the report states. The committee has also raised questions about their ownerships. The report states that most of the elephants have no proper ownership certificates. ?The elephants are like our family members. We would die without them. We have proper license to keep them. It is only because of some animal right activists and influential NGOs that we are being made victims. We will again approach the court if necessary,? said Yusuf Ali, whose family owns three elephants. ",32,"A forest department report submitted to the High Court suggested that all the seven domesticated elephants of Delhi be shifted to a sanctuary outside the city. It observed that not only were the elephants kept in poor conditions, but it was also risky to house them in crowded localities. Most of the elephants don't have proper ownership certificates, report said.","A forest department report submitted to the High Court suggested that all the seven domesticated elephants of Delhi be shifted to a sanctuary outside the city. It observed that not only were the elephants kept in poor conditions, but it was also risky to house them in crowded localities. Most of the elephants don't have proper ownership certificates, report said."
616,"Central Board of Excise and Customs has criticised West Bengal's introduction of e-way bill system without waiting for it's launch by the Centre. E-way bill would be rolled out after infrastructure is ready to employ RFID chips and QR codes to ensure speedy movement of goods. Under GST, e-way bill is required to transport goods worth over ?50,000.","Kolkata, Jul 23 (PTI) Central Board of Excise and Customs (CBEC), the nodal national agency for administering customs and GST, was unhappy with West Bengals introduction of e-way bill system without waiting for it being launched by the Centre across the country. ""West Bengal is one of the two states in the country which has already introduced e-way bill. We have urged the state to keep the procedure on hold until it is rolled out by the Centre and across the states,"" a CBEC official told PTI. The e-way bill system is creating problems to the trade for being a process working in isolation, he said. However, the official said, CBEC cannot dictate the state government to withdraw it as it is state subject. ",5,"Central Board of Excise and Customs has criticised West Bengal's introduction of e-way bill system without waiting for it's launch by the Centre. E-way bill would be rolled out after infrastructure is ready to employ RFID chips and QR codes to ensure speedy movement of goods. Under GST, e-way bill is required to transport goods worth over ?50,000.","Central Board of Excise and Customs has criticised West Bengal's introduction of e-way bill system without waiting for it's launch by the Centre. E-way bill would be rolled out after infrastructure is ready to employ RFID chips and QR codes to ensure speedy movement of goods. Under GST, e-way bill is required to transport goods worth over ?50,000."
